classe_age_salaire,homme,femme
De 0 à 15 ans, 0, 0
Moins de 18 ans,8118.80,4160.60
De 18 à 20 ans,222833.70,159391.20
De 21 à 25 ans,1482419.00,1084190.40
De 26 à 30 ans,2216463.70,1553765.70
De 31 à 35 ans,2294866.30,1511221.50
De 36 à 40 ans,2326316.50,1513899.70
De 41 à 45 ans,2371544.60,1582900.80
De 46 à 50 ans,2295938.80,1565077.80
De 51 à 55 ans,2026209.50,1347030.30
De 56 à 60 ans,1430485.00,988638.40
De 61 à 65 ans,290815.80,187989.80
Plus de 65 ans,53946.30,29023.20
